cell,seed,aggregation,group,n,ce_ctw_original,ce_root_original,ce_ctw_shuffled,ce_root_shuffled,g_original,g_shuffled,q
D12,1,eligible_token_weighted,PROSE_ALL,56099.0,4.231661482345714,4.692970050938745,4.565100261807384,4.565100261807384,0.4613085685930296,0.0,0.4613085685930296
D12,1,eligible_token_weighted,contrast,,0.33585236136951035,0.13659189575311537,0.1728723111479633,0.1728723111479633,-0.1992604656163945,0.0,-0.1992604656163945
D12,2,equal_block,HEX,53009.0,4.60535222488175,4.868808842731189,4.805558994734361,4.805558994734361,0.2634566178494402,0.0,0.2634566178494402
D12,2,equal_block,PROSE_ALL,56099.0,4.235784023703934,4.705284180810037,4.573576955174978,4.573576955174978,0.4695001571061027,0.0,0.4695001571061027
D12,2,equal_block,contrast,,0.36956820117781586,0.16352466192115234,0.2319820395593828,0.2319820395593828,-0.20604353925666252,0.0,-0.20604353925666252
D12,2,eligible_token_weighted,HEX,53009.0,4.56379929808137,4.829082556761972,4.739984072646301,4.739984072646301,0.26528325868060226,0.0,0.26528325868060226
D12,2,eligible_token_weighted,PROSE_ALL,56099.0,4.229435184734405,4.693336358117208,4.561777113938592,4.561777113938592,0.4639011733828037,0.0,0.4639011733828037
D12,2,eligible_token_weighted,contrast,,0.3343641133469646,0.1357461986447639,0.17820695870770908,0.17820695870770908,-0.19861791470220141,0.0,-0.19861791470220141
D12,3,equal_block,HEX,53009.0,4.615357288816858,4.8729307662182055,4.804562932319186,4.804562932319186,0.25757347740134673,0.0,0.25757347740134673
D12,3,equal_block,PROSE_ALL,56099.0,4.2347167320915515,4.7042682995827745,4.5701850566059745,4.5701850566059745,0.4695515674912235,0.0,0.4695515674912235
D12,3,equal_block,contrast,,0.3806405567253064,0.16866246663543105,0.23437787571321156,0.23437787571321156,-0.21197809008987678,0.0,-0.21197809008987678
D12,3,eligible_token_weighted,HEX,53009.0,4.56795829417285,4.829915870907298,4.741682586159666,4.741682586159666,0.2619575767344479,0.0,0.2619575767344479
D12,3,eligible_token_weighted,PROSE_ALL,56099.0,4.228622285604478,4.6924746395592765,4.559028885833293,4.559028885833293,0.4638523539547977,0.0,0.4638523539547977
D12,3,eligible_token_weighted,contrast,,0.3393360085683712,0.13744123134802155,0.18265370032637307,0.18265370032637307,-0.20189477722034976,0.0,-0.20189477722034976
