cell,variant,held_block,held_block_key,seed,doc_id,arm,past_band,implicit_unseen_branch_encounter_count,n,resolved_null_count_by_reason_no_resolved_mass,resolved_valid_count,root_unseen_target_count,sum_observed_mass_by_length_0,sum_observed_mass_by_length_1,sum_observed_mass_by_length_2,sum_observed_mass_by_length_3,sum_observed_mass_by_length_4,sum_observed_mass_by_length_5,sum_observed_mass_by_length_6,sum_observed_mass_by_length_7,sum_observed_mass_by_length_8,sum_resolved_valid,sum_unseen_mass,resolved_mean,unseen_mass_mean,reason,sum_observed_mass_by_length_10,sum_observed_mass_by_length_11,sum_observed_mass_by_length_12,sum_observed_mass_by_length_9
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,8,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5238,5238,0,5238,1,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,9,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1586,1989,0,1989,0,0.0,1681.945400214642,305.6133848386461,0.7164199619041052,0.12965456355606098,2.4944187277197985e-07,2.4805576961674477e-07,2.718993342201285e-23,0.0,2297.1256754121187,0.5951399237541279,1.1549148694882447,0.00029921564794073804,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,9,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5231,5238,0,5238,0,0.0,4515.533259790763,711.3731640034367,0.6865475061113596,0.04490372499557186,0.0018738895377322716,0.00015991633105798982,3.27788855233045e-16,5.4002710951600036e-166,5952.4398005287,10.360091168824827,1.1363955327469837,0.001977871548076523,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,9,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1958,1989,0,1989,0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,9,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5238,5238,0,5238,0,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,10,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1572,1989,0,1989,0,0.0,1681.7450015940478,304.9026874298369,0.3944154624552915,0.12807721557936147,1.8226395391978783e-05,2.5845985769638463e-19,8.66286826892935e-25,0.0,2296.969662975054,1.8298000716853142,1.1548364318627722,0.0009199598148241901,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,10,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5231,5238,1,5237,1,0.0,4516.638027872568,710.6450817053426,0.6585904428719863,0.15920295917789773,0.0066254625422011715,4.675458229724071e-06,2.738350203485434e-15,1.1100371979483294e-162,5952.438695534568,9.8924668820387,1.1366123153589016,0.0018885961974109775,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,10,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1955,1989,0,1989,0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,10,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5238,5238,0,5238,1,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,11,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1562,1989,0,1989,0,0.0,1681.7147684075842,305.0343115558706,1.1057824429284662,0.25436395871673123,4.064212244871481e-07,1.6437700014895755e-18,5.884184722357699e-21,0.0,2298.1216493633424,0.8907732284788814,1.1554156105396391,0.00044784978807384685,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,11,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5229,5238,2,5236,3,0.0,4514.924063398121,711.907537053721,0.8288042383672894,0.1513990446777258,0.005846254122945283,0.00015517802876250617,4.667508255230587e-56,1.2589267085803286e-153,5952.471797050675,10.182194832961239,1.136835713722436,0.001943908902818106,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,11,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1958,1989,0,1989,0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,11,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5238,5238,0,5238,1,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
