cell,level,unit,aggregation,past_band,metric,mean,sd,min,max,S,reason
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,all,ce_ctw_shuffled,4.888083776825947,0.028177747586979354,4.849040409147488,4.923481699818831,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,all,ce_root_original,4.906994805220419,0.0033331644455200224,4.902469938064085,4.911434879988017,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,all,ce_root_shuffled,4.888083776825947,0.028177747586979354,4.849040409147488,4.923481699818831,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,all,g_original,0.2798070756974447,0.00700874583839228,0.2667618870320041,0.2895695530763307,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,all,g_shuffled,0.0,0.0,0.0,0.0,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,all,q,0.2798070756974447,0.00700874583839228,0.2667618870320041,0.2895695530763307,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,ge8,ce_ctw_original,4.733433810172285,0.009809891763392592,4.715701298852692,4.746567596761444,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,ge8,ce_ctw_shuffled,4.907744262422076,0.05068516553646112,4.85802520288062,5.03020301687692,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,ge8,ce_root_original,4.9899229506227485,0.0038588399336506136,4.984577359562683,4.995192135408058,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,ge8,ce_root_shuffled,4.907744262422076,0.05068516553646122,4.8580252028806195,5.03020301687692,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,ge8,g_original,0.25648914045046334,0.00938939183374806,0.2397189793236274,0.2692588980032662,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,ge8,g_shuffled,-8.881784197001253e-17,2.808666774861361e-16,-8.881784197001252e-16,0.0,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,ge8,q,0.25648914045046345,0.009389391833748116,0.2397189793236274,0.2692588980032662,10,
