cell,variant,held_block,held_block_key,seed,past_band,n,sum_loss_ctw_original,sum_loss_root_original,sum_loss_ctw_shuffled,sum_loss_root_shuffled,changed_symbol_eligible_slot_count,eligible_slot_count,ce_ctw_original,ce_root_original,g_original,ce_ctw_shuffled,ce_root_shuffled,g_shuffled,q,reason
a_total1,ud23,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,2,all,6375,29851.904006787354,31374.05323897946,31186.685811709525,31186.685811709525,5501,6375,4.68265160890782,4.921420115918346,0.23876850701052632,4.892029146934828,4.892029146934828,0.0,0.23876850701052632,
a_total1,ud23,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,3,all,6375,30015.372414226542,31434.00791474478,31164.02899413169,31164.028994131695,5581,6375,4.708293712035536,4.930824770940357,0.2225310589048215,4.888475136334383,4.8884751363343835,8.881784197001252e-16,0.2225310589048206,
a_total1,ud23,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,4,all,6375,30098.200820376132,31409.70116365786,31150.106068656627,31150.106068656627,5617,6375,4.721286403196256,4.927011947240449,0.20572554404419297,4.8862911480245685,4.8862911480245685,0.0,0.20572554404419297,
a_total1,ud23,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,5,all,6375,29833.076507023925,31346.262981037096,31053.39518667764,31053.39518667764,5590,6375,4.679698275611596,4.917060859770525,0.2373625841589293,4.871120813596493,4.871120813596493,0.0,0.2373625841589293,
a_total1,ud23,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,6,all,6375,29848.048434059285,31353.628863883278,31059.32511513476,31059.32511513476,5589,6375,4.68204681318577,4.918216292373847,0.23616947918807707,4.8720509984525115,4.8720509984525115,0.0,0.23616947918807707,
a_total1,ud23,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,7,all,6375,29860.20329032973,31377.439029061356,31041.712905288583,31041.712905288583,5598,6375,4.683953457306624,4.921951220244918,0.2379977629382939,4.869288298868797,4.869288298868797,0.0,0.2379977629382939,
a_total1,ud23,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,8,all,6375,30068.005721891932,31393.528084358048,31176.67168375493,31176.671683754932,5627,6375,4.716549917159519,4.924474993624791,0.2079250764652727,4.890458303334106,4.890458303334107,8.881784197001252e-16,0.2079250764652718,
a_total1,ud23,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,9,all,6375,29800.497787702043,31328.60262706546,30941.63037380158,30941.63037380158,5559,6375,4.674587888266987,4.914290608167131,0.23970271990014425,4.8535890782433855,4.8535890782433855,0.0,0.23970271990014425,
a_total1,ud23,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,0,all,46634,213110.51610684287,224588.9152080392,220297.42471603653,220297.42471603653,41070,46634,4.569852813544686,4.815990805164455,0.24613799161976946,4.723965877171946,4.723965877171946,0.0,0.24613799161976946,
a_total1,ud23,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,1,all,46634,213276.92854804685,224658.90415096175,220225.51555724093,220225.51555724093,41174,46634,4.573421292362801,4.817491618796624,0.24407032643382287,4.722423887233369,4.722423887233369,0.0,0.24407032643382287,
