cell,reference,level,unit,aggregation,past_band,seed,metric,value,reference_value,difference
D12,C0,block,HOMERIC_TRADITION,not_applicable,4_7,6,ce_ctw_original,4.476782054074611,4.476782054074611,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,ge8,6,ce_ctw_original,4.61291418864938,4.61291418864938,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,4_7,7,ce_ctw_original,4.481031628394775,4.481031628394775,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,ge8,7,ce_ctw_original,4.617760108921386,4.617760108921386,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,4_7,8,ce_ctw_original,4.477998349101627,4.477998349101627,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,ge8,8,ce_ctw_original,4.617796619175579,4.617796619175579,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,4_7,9,ce_ctw_original,4.478265590711297,4.478265590711297,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,ge8,9,ce_ctw_original,4.616698943664996,4.616698943664996,0.0
D12,C0,block,PLUTARCH,not_applicable,4_7,0,ce_ctw_original,4.1697878475385775,4.1697878475385775,0.0
D12,C0,block,PLUTARCH,not_applicable,ge8,0,ce_ctw_original,4.26827867273636,4.26827867273636,0.0
D12,C0,block,PLUTARCH,not_applicable,4_7,1,ce_ctw_original,4.15998844812147,4.15998844812147,0.0
D12,C0,block,PLUTARCH,not_applicable,ge8,1,ce_ctw_original,4.261329177448725,4.261329177448725,0.0
D12,C0,block,PLUTARCH,not_applicable,4_7,2,ce_ctw_original,4.1642486871937505,4.164248687298201,-1.0445067033515443e-10
D12,C0,block,PLUTARCH,not_applicable,ge8,2,ce_ctw_original,4.261983864827468,4.261983864821053,6.4153127254940046e-12
D12,C0,block,PLUTARCH,not_applicable,4_7,3,ce_ctw_original,4.159347077484832,4.15934707748594,-1.1075584893660562e-12
D12,C0,block,PLUTARCH,not_applicable,ge8,3,ce_ctw_original,4.257983584658366,4.257983584659042,-6.767919558114954e-13
D12,C0,block,PLUTARCH,not_applicable,4_7,4,ce_ctw_original,4.166524326825371,4.1665243291886975,-2.3633264234490525e-09
D12,C0,block,PLUTARCH,not_applicable,ge8,4,ce_ctw_original,4.262653957021333,4.262653958626763,-1.6054304552426402e-09
D12,C0,block,PLUTARCH,not_applicable,4_7,5,ce_ctw_original,4.156573629423285,4.156573629423285,0.0
D12,C0,block,PLUTARCH,not_applicable,ge8,5,ce_ctw_original,4.262956599022797,4.262956599022797,0.0
D12,C0,block,PLUTARCH,not_applicable,4_7,6,ce_ctw_original,4.168404062517378,4.168404066955196,-4.437818112990044e-09
D12,C0,block,PLUTARCH,not_applicable,ge8,6,ce_ctw_original,4.26430732422718,4.264307327402553,-3.175372853547742e-09
D12,C0,block,PLUTARCH,not_applicable,4_7,7,ce_ctw_original,4.157000071035177,4.157000071301826,-2.666489251623716e-10
D12,C0,block,PLUTARCH,not_applicable,ge8,7,ce_ctw_original,4.258230747219095,4.258230747389606,-1.7051160483561034e-10
D12,C0,block,PLUTARCH,not_applicable,4_7,8,ce_ctw_original,4.156272704618926,4.156272704618926,0.0
D12,C0,block,PLUTARCH,not_applicable,ge8,8,ce_ctw_original,4.264960584013266,4.264960584013266,0.0
D12,C0,block,PLUTARCH,not_applicable,4_7,9,ce_ctw_original,4.1561379419449604,4.156137943275056,-1.3300951451356013e-09
D12,C0,block,PLUTARCH,not_applicable,ge8,9,ce_ctw_original,4.264252155782786,4.264252156367968,-5.851825690683654e-10
D12,C0,block,THUCYDIDES,not_applicable,4_7,0,ce_ctw_original,4.223478390321703,4.223478390395252,-7.354916675694767e-11
D12,C0,block,THUCYDIDES,not_applicable,ge8,0,ce_ctw_original,4.364210623055853,4.364210623188702,-1.3284928712664623e-10
D12,C0,block,THUCYDIDES,not_applicable,4_7,1,ce_ctw_original,4.220024721648815,4.220024721648815,0.0
D12,C0,block,THUCYDIDES,not_applicable,ge8,1,ce_ctw_original,4.3687721375232185,4.3687721375232185,0.0
D12,C0,block,THUCYDIDES,not_applicable,4_7,2,ce_ctw_original,4.2140353911218185,4.214035391122542,-7.238654120556021e-13
D12,C0,block,THUCYDIDES,not_applicable,ge8,2,ce_ctw_original,4.364972805451207,4.36497280545202,-8.126832540256146e-13
D12,C0,block,THUCYDIDES,not_applicable,4_7,3,ce_ctw_original,4.214895600693736,4.214895600693736,0.0
D12,C0,block,THUCYDIDES,not_applicable,ge8,3,ce_ctw_original,4.363279761844452,4.363279761844452,0.0
D12,C0,block,THUCYDIDES,not_applicable,4_7,4,ce_ctw_original,4.2103154597915236,4.210315459792059,-5.355715870791755e-13
D12,C0,block,THUCYDIDES,not_applicable,ge8,4,ce_ctw_original,4.36978320724484,4.369783207245608,-7.682743330406083e-13
D12,C0,block,THUCYDIDES,not_applicable,4_7,5,ce_ctw_original,4.210607208239724,4.210607208239808,-8.43769498715119e-14
D12,C0,block,THUCYDIDES,not_applicable,ge8,5,ce_ctw_original,4.362561876929323,4.362561876929468,-1.4477308241112041e-13
D12,C0,block,THUCYDIDES,not_applicable,4_7,6,ce_ctw_original,4.221696995889633,4.221696995889633,0.0
D12,C0,block,THUCYDIDES,not_applicable,ge8,6,ce_ctw_original,4.371079442981522,4.371079442981522,0.0
D12,C0,block,THUCYDIDES,not_applicable,4_7,7,ce_ctw_original,4.212007329277969,4.212007329277969,0.0
D12,C0,block,THUCYDIDES,not_applicable,ge8,7,ce_ctw_original,4.36557589705108,4.36557589705108,0.0
D12,C0,block,THUCYDIDES,not_applicable,4_7,8,ce_ctw_original,4.214999900846275,4.214999900855436,-9.161560399206792e-12
D12,C0,block,THUCYDIDES,not_applicable,ge8,8,ce_ctw_original,4.36216316308503,4.36216316309534,-1.0309975095879054e-11
D12,C0,block,THUCYDIDES,not_applicable,4_7,9,ce_ctw_original,4.216444563433024,4.216444563433024,0.0
D12,C0,block,THUCYDIDES,not_applicable,ge8,9,ce_ctw_original,4.364881236444166,4.364881236444166,0.0
D12,C0,block,ATHENAEUS,not_applicable,all,0,ce_ctw_original,4.234975485347925,4.234975485347925,0.0
D12,C0,block,ATHENAEUS,not_applicable,all,1,ce_ctw_original,4.2350975343635415,4.2350975343635415,0.0
D12,C0,block,ATHENAEUS,not_applicable,all,2,ce_ctw_original,4.234884564339547,4.234884564339547,0.0
D12,C0,block,ATHENAEUS,not_applicable,all,3,ce_ctw_original,4.2332586627422515,4.2332586627422515,0.0
D12,C0,block,ATHENAEUS,not_applicable,all,4,ce_ctw_original,4.235302947203197,4.235302947203197,0.0
D12,C0,block,ATHENAEUS,not_applicable,all,5,ce_ctw_original,4.234558347355105,4.234558347355105,0.0
D12,C0,block,ATHENAEUS,not_applicable,all,6,ce_ctw_original,4.236072325005912,4.236072325130756,-1.24844135029889e-10
D12,C0,block,ATHENAEUS,not_applicable,all,7,ce_ctw_original,4.232270810045452,4.232270810809657,-7.642055876999621e-10
D12,C0,block,ATHENAEUS,not_applicable,all,8,ce_ctw_original,4.233192663358524,4.233192663381565,-2.304023638544095e-11
D12,C0,block,ATHENAEUS,not_applicable,all,9,ce_ctw_original,4.2321237221486125,4.2321237221486125,0.0
D12,C0,block,DIODORUS,not_applicable,all,0,ce_ctw_original,3.993341814213251,3.993341814213251,0.0
D12,C0,block,DIODORUS,not_applicable,all,1,ce_ctw_original,3.9971121037800073,3.9971121037800073,0.0
D12,C0,block,DIODORUS,not_applicable,all,2,ce_ctw_original,3.9918033096416385,3.9918033096416385,0.0
D12,C0,block,DIODORUS,not_applicable,all,3,ce_ctw_original,3.9946239567877866,3.9946239567877866,0.0
D12,C0,block,DIODORUS,not_applicable,all,4,ce_ctw_original,3.994520274058881,3.994520274058881,0.0
D12,C0,block,DIODORUS,not_applicable,all,5,ce_ctw_original,3.9907519357001098,3.9907519357001098,0.0
D12,C0,block,DIODORUS,not_applicable,all,6,ce_ctw_original,3.9867783016249803,3.9867783016249803,0.0
D12,C0,block,DIODORUS,not_applicable,all,7,ce_ctw_original,3.990559199472419,3.990559199472419,0.0
D12,C0,block,DIODORUS,not_applicable,all,8,ce_ctw_original,3.9869314131351516,3.9869314131351516,0.0
D12,C0,block,DIODORUS,not_applicable,all,9,ce_ctw_original,3.9938327269351785,3.9938327269351785,0.0
D12,C0,block,HERODOTUS,not_applicable,all,0,ce_ctw_original,4.400086122926136,4.400086122926136,0.0
D12,C0,block,HERODOTUS,not_applicable,all,1,ce_ctw_original,4.395594046401218,4.395594046402032,-8.144596108650148e-13
D12,C0,block,HERODOTUS,not_applicable,all,2,ce_ctw_original,4.3928751947845655,4.3928751947845655,0.0
D12,C0,block,HERODOTUS,not_applicable,all,3,ce_ctw_original,4.391574933603042,4.391574933603042,0.0
D12,C0,block,HERODOTUS,not_applicable,all,4,ce_ctw_original,4.391836904957393,4.391836904957393,0.0
D12,C0,block,HERODOTUS,not_applicable,all,5,ce_ctw_original,4.389610327691834,4.389610327691834,0.0
D12,C0,block,HERODOTUS,not_applicable,all,6,ce_ctw_original,4.399855821883357,4.399855821883393,-3.552713678800501e-14
D12,C0,block,HERODOTUS,not_applicable,all,7,ce_ctw_original,4.390920587759654,4.390920587759654,0.0
D12,C0,block,HERODOTUS,not_applicable,all,8,ce_ctw_original,4.389270071265705,4.389270071265705,0.0
D12,C0,block,HERODOTUS,not_applicable,all,9,ce_ctw_original,4.399009784986001,4.399009784986001,0.0
