cell,variant,held_block,held_block_key,seed,doc_id,past_band,n,sum_loss_ctw_original,sum_loss_root_original,sum_loss_ctw_shuffled,sum_loss_root_shuffled,changed_symbol_eligible_slot_count,eligible_slot_count,ce_ctw_original,ce_root_original,g_original,ce_ctw_shuffled,ce_root_shuffled,g_shuffled,q,reason
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,5,tlg0016.tlg001.perseus-grc1.1.tb.xml,ge8,8969,25181.051898248086,27445.627609000283,27467.3796128597,27467.3796128597,7344,8969,2.8075651575703073,3.060054366038609,0.2524892084683015,3.0624796089708664,3.0624796089708664,0.0,0.2524892084683015,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,6,tlg0016.tlg001.perseus-grc1.1.tb.xml,4_7,3977,11139.159761298934,12032.62963405447,12058.220996441303,12058.220996441303,3216,3977,2.8008950870754172,3.0255543460031356,0.22465925892771832,3.031989186935203,3.031989186935203,0.0,0.22465925892771832,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,6,tlg0016.tlg001.perseus-grc1.1.tb.xml,ge8,8969,25218.463864199002,27472.20246335283,27458.59947769248,27458.59947769248,7443,8969,2.8117364103243396,3.0630173334098374,0.25128092308549776,3.06150066648372,3.06150066648372,0.0,0.25128092308549776,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,7,tlg0016.tlg001.perseus-grc1.1.tb.xml,4_7,3977,11106.43840896368,12026.893324131259,12034.16501031414,12034.16501031414,3183,3977,2.792667440021041,3.0241119748884233,0.23144453486738215,3.0259404099356653,3.0259404099356653,0.0,0.23144453486738215,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,7,tlg0016.tlg001.perseus-grc1.1.tb.xml,ge8,8969,25173.332722915056,27456.707935203263,27385.501475490033,27385.501475490033,7319,8969,2.806704506958976,3.0612897686702265,0.2545852617112505,3.05335059376631,3.05335059376631,0.0,0.2545852617112505,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,8,tlg0016.tlg001.perseus-grc1.1.tb.xml,4_7,3977,11101.184413536343,12025.050094707953,12031.057154231188,12031.057187306793,3215,3977,2.7913463448670712,3.023648502566747,0.23230215769967577,3.0251589525348725,3.025158960851595,8.316722421852774e-09,0.23230214938295335,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,8,tlg0016.tlg001.perseus-grc1.1.tb.xml,ge8,8969,25196.861239271457,27450.72575651068,27495.586764284508,27495.586779030094,7370,8969,2.809327822418492,3.0606227847598038,0.25129496234131166,3.0656245695489472,3.0656245711930086,1.6440613315182873e-09,0.2512949606972503,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,9,tlg0016.tlg001.perseus-grc1.1.tb.xml,4_7,3977,11148.099978826176,12025.218921438793,12157.636126989159,12157.636126989159,3175,3977,2.8031430673437705,3.0236909533414114,0.22054788599764086,3.056986705302781,3.056986705302781,0.0,0.22054788599764086,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,9,tlg0016.tlg001.perseus-grc1.1.tb.xml,ge8,8969,25271.472794351357,27448.49227902441,27375.849679883417,27375.849679883417,7354,8969,2.8176466489409475,3.0603737628525374,0.24272711391158985,3.0522744653677574,3.0522744653677574,0.0,0.24272711391158985,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,0,tlg0020.tlg001.perseus-grc1.tb.xml,4_7,942,2523.3707193810205,2623.451969810152,2655.183353908525,2655.183353908525,688,942,2.6787374940350537,2.7849808596710743,0.10624336563602066,2.8186659807946124,2.8186659807946124,0.0,0.10624336563602066,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,0,tlg0020.tlg001.perseus-grc1.tb.xml,ge8,2003,5586.514357527899,5619.776235815059,5683.62402868663,5683.62402868663,1490,2003,2.7890735684113324,2.805679598509765,0.016606030098432534,2.837555680822082,2.837555680822082,0.0,0.016606030098432534,
