cell,seed,aggregation,block,held_block_key,group,n,weight,share,training_tokens,available_tokens,training_share,fold_training_tokens,fold_share_HEX,fold_share_PROSE_ALL,fold_share_own_group
C0,4,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,5,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,6,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,7,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,8,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,9,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,10,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,11,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,12,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,13,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,14,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,15,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,16,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,17,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,18,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,19,equal_block,HOMERIC_TRADITION,209ee9f27c82f31d31eb16124569039d7847ed327f3a0f2b5c4eae048347e621,HEX,46634,1.0,0.5,8884,71088,0.12497186585640332,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,0,equal_block,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,PROSE_ALL,6901,1.0,0.2,8884,8884,1.0,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,1,equal_block,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,PROSE_ALL,6901,1.0,0.2,8884,8884,1.0,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,2,equal_block,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,PROSE_ALL,6901,1.0,0.2,8884,8884,1.0,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,3,equal_block,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,PROSE_ALL,6901,1.0,0.2,8884,8884,1.0,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,4,equal_block,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,PROSE_ALL,6901,1.0,0.2,8884,8884,1.0,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,5,equal_block,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,PROSE_ALL,6901,1.0,0.2,8884,8884,1.0,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,6,equal_block,PLUTARCH,ef8134329970f595ef9ccf4198217affef5c01fa243d5bf4e59ee6daebb04e1d,PROSE_ALL,6901,1.0,0.2,8884,8884,1.0,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
